ISO3,CountryName,nCells,Pop,MeanAnnual_recent,MeanOSDMA8_recent,SlopeAnnual_ppb_per_decade,SlopeOSDMA8_ppb_per_decade,FracCellsSignif
BMU,"Bermuda",1,60861.1372070312,36.9483796931581,41.6940311489354,-0.233378723067626,-0.187058581734825,0
NOR,"Norway",101,5345596.02097028,33.3114913424632,38.3491511221174,-0.250484487701253,-0.722403577365544,0.168316831683168
NA,"Midway Islands",3,366377.677505493,39.243085186194,44.0940536785113,-0.263873105896618,-1.31554408033402,0.333333333333333
AZE,"Azerbaijan",12,8725198.81249142,29.7906633988901,35.8997198113022,-0.265466046273908,-0.741496916307424,0
SHN,"Saint Helena",4,4004.2570066452,26.9799030334084,29.4631625405302,-0.277085812987098,-1.46491714244531,0
RUS,"Russian Federation",3111,143130686.382136,29.8098979917689,35.8003250199843,-0.294600957651845,-0.444165720952116,0.565734490517518
CYM,"Cayman Islands",2,60805.3881587982,33.3027361509438,36.4510418893379,-0.312444413421143,-0.865854772754335,0.5
IRQ,"Iraq",44,40495711.915719,40.0656761121803,50.4364351203922,-0.330380900214951,0.299463826430035,0
NCL,"New Caledonia",16,275426.504117012,24.9572624802201,27.8247637491287,-0.372180092193533,-0.986684786635169,0.0625
EST,"Estonia",12,1279256.59452954,31.9004498116431,37.7450380121505,-0.374857373435416,-0.538219930341358,0.416666666666667
USA,"United States of America",1560,334633107.343778,38.8742798704942,44.9587160998932,-0.391303231072228,-1.9893038276669,0.698717948717949
MDA,"Republic of Moldova",5,4176863.94848633,29.3193599373127,36.6488549061395,-0.396927059124294,-1.46267573735849,0
PSE,"Occupied Palestinian Territory",1,8520315.39404297,38.543201126005,46.7613315236586,-0.412416780914497,-1.84852664221831,0
SYC,"Seychelles",9,94399.141274929,25.435701781396,28.6607981667189,-0.415066203457533,-1.22191745715062,0
SYR,"Syrian Arab Republic",19,19185230.4255147,35.7573642622077,43.3141670357439,-0.440508764923122,-1.46126885659933,0
GUM,"Guam",1,178408.443847656,25.9025018899385,30.629881389204,-0.488230130924554,-0.60677266964261,0
PLW,"Palau",4,21023.2558450699,24.5290200349166,28.6406925677236,-0.505207531332772,-0.679634550100737,0
AUT,"Austria",19,8980886.92922783,36.9113944784094,46.9969427291876,-0.515969960747357,-1.16585156126243,0.368421052631579
STP,"Sao Tome and Principe",3,206658.874763489,31.8527834331005,34.6133348084111,-0.602176007305788,-1.51657593860753,0.333333333333333
TUV,"Tuvalu",7,3857.89465332031,19.1313216473645,20.4999083220158,-0.609596259240833,-1.35384826772712,0
FJI,"Fiji",21,788077.683264971,22.5005919639036,24.9387947219986,-0.610584756339824,-1.53380292430152,0.380952380952381
GEO,"Georgia",7,3390585.81398967,27.8577021759314,32.5766123963271,-0.619017888426025,-1.53383089538707,0
FIN,"Finland",76,5533668.17646563,31.5039881735575,36.8144225008656,-0.632915186103743,-1.17268884358596,0.263157894736842
FSM,"Micronesia (Federated States of)",11,84125.8117103577,22.0017842354336,26.413927584576,-0.688841214326161,-1.10693489926395,0
PER,"Peru",114,32164172.3785194,26.334099146075,29.4975787437683,-0.737591443219362,-0.78991486620215,0.701754385964912
ROU,"Romania",28,18891866.2423711,28.9731241890099,35.9447380807137,-0.751118752818308,-2.06945925938227,0.357142857142857
SVK,"Slovakia",8,6258340.0524292,35.5074746849798,44.7680799234567,-0.75951270306822,-1.68703070688266,0.125
VUT,"Vanuatu",15,270718.989219238,23.8408166492123,26.4777782178045,-0.7858058115603,-1.39086114979854,0.866666666666667
URY,"Uruguay",19,3295222.50280702,26.5217286843461,28.2848413499729,-0.801596042299932,-1.02621794557344,0.421052631578947
PNG,"Papua New Guinea",93,8743947.05056414,19.1891465338829,22.5361405498332,-0.807577577194993,-1.04967069590358,0.354838709677419
TUN,"Tunisia",21,11462655.5309772,40.8823573480855,46.3095891372561,-0.816175857062095,-3.01136652517805,0.619047619047619
ARG,"Argentina",303,45612570.7589191,26.3590447482374,29.4943568930817,-0.84452938501662,-0.692239623080349,0.580858085808581
KWT,"Kuwait",2,4031806.34749985,48.2086356022609,57.7778936921614,-0.848796892349011,0.553713584045138,0.5
